word	rac_evidence	rac_pos	corpus_count	status	definition_check	rationale
កម្អែ	កម្អែភ្នំភ្លើង	ន.	122	approved	The definition identifies the molten material emitted by a volcano.	Reusable concrete noun in a transparent descriptive term.
កូឡា	ប្រេងកូឡា	ន.	578	rejected	The definition identifies one medicinal oil; it does not define កូឡា independently.	The whole borrowed expression is the supported lexical unit.
កាតព្វ	កាតព្វកិច្ច	ន.	7	rejected	The entry redirects the whole form to ករណីយកិច្ច.	RAC does not establish the learned component as an independent word.
គណិត	គណិតវិទ្យា	ន.	603	approved	The definition describes the science of calculation and its mathematical branches.	Reusable field noun supported by the compositional definition.
ខុងជឺ	ខុងជឺនិយម	ន.	228	approved	The definition explicitly attributes the system to Confucius and his followers.	Independent proper name before a productive suffix.
ចំណាត់	ចំណាត់ថ្នាក់	ន.	1150	approved	The definition and example describe assigning or receiving a ranking.	Reusable nominal component in a transparent compound.
ឆ័ត្រ	លោតឆ័ត្រ	កិ.	794	rejected	The definition gives the idiomatic sense of bypassing the law; RAC separately defines umbrella as ឆត្រ.	Do not promote a context-specific spelling from an idiom as a strict standalone word.
ឆ្អាល	ឈឺឆ្អាល	កិ.	10	rejected	The definition assigns the whole expression the meaning of helping or sharing another's burden.	The idiomatic definition does not establish the tail as an independent word.
ទំពក់	ដៃទំពក់	ន.	1112	approved	The definition describes a hook-like plant organ used for climbing.	Reusable concrete noun in a transparent compound.
ទស្សនា	ទស្សនាចរណ៍	ន.	14280	approved	RAC also lists ទស្សនា as a standalone member in its word-family example.	Independent verb with multiple RAC compounds and strong corpus evidence.
បន្សំ	ប្រតិកម្មបន្សំ	ន.	1409	approved	The definition describes substances combining to form another substance.	Reusable reaction-type noun or modifier.
ប័ណ្ណ	អត្តសញ្ញាណប័ណ្ណ	ន.	5030	approved	The definition explicitly identifies an official identity document or identifying card.	Independent document or card noun.
ប៉ូល	តំបន់ប៉ូល	ន.	2643	approved	The definition identifies the polar regions; another RAC definition explicitly glosses ប៉ូល.	Independent scientific noun.
មត្តេយ្យ	មត្តេយ្យសិក្សា	ន.	716	approved	The definition identifies the education level before primary school.	Reusable education-level noun.
មិញ	យប់មិញ	ន.	118	approved	The definition identifies the night preceding today.	Independent temporal modifier in a transparent phrase.
មេត្រូ	មេត្រូប៉ូល	ន.	211	rejected	The definition identifies the complete borrowed word as a political capital or metropolis.	Splitting the transliterated loanword would create a false standalone prefix.
ម៉ាស៊ូត	ប្រេងម៉ាស៊ូត	ន.	554	approved	The definition identifies a liquid fuel used to power engines.	Independent fuel-type noun in a transparent phrase.
រហួន	រហ័សរហួន	គុ.	6	approved	The definition describes the coordinated adjective as not slow or sluggish.	Reusable adjective corroborated by independent corpus use.
សាកល្បង	ប្រឡងសាកល្បង	ន.	32835	approved	The definition and example identify a trial examination before the official examination.	Independent verb or modifier with very strong corpus evidence.
សិប	ហាសិប	គុ.	6438	rejected	The definition treats the whole numeral as five tens.	This is a bound numeral component here, not evidence for an independent word.
សីហនុ	ព្រះសីហនុ	ន.	176	approved	The definition identifies the province and city bearing Sihanouk's name; RAC examples also use the name after a title.	Independent proper name following a title.
ស៊ីឌី	វីស៊ីឌី	ន.	1207	rejected	The definition describes VCD as the complete initialism.	A substring of an initialism is not sufficient RAC evidence for CD as a standalone form.
ស្ថេរ	ស្ថិតស្ថេរ	គុ., គុ.កិ.	4191	approved	The entry equates the expression with ឋិតឋេរ, meaning stable or enduring.	Reusable adjective corroborated by independent corpus use.
ស្នាក់	ផ្ទះស្នាក់	ន.	142	approved	The definition explicitly says it is a house rented for guests to stay and eat.	Independent verb in a transparent phrase.
សំណាល	សំណេះសំណាល	គុ.កិ., គុ.	6	rejected	The definition and example consistently assign the conversational sense to the complete paired expression.	Insufficient definition evidence for the tail as an independent strict word.
ស្ទ្រីម	អាប់ស្ទ្រីម	ន.	3286	rejected	The definition identifies upstream as a complete technical term in a production chain.	Splitting the transliterated loanword would create an unsupported standalone form.
វ៉ាត់	គីឡូវ៉ាត់	ន.	3312	approved	The definition explicitly states that one kilowatt equals 1000 watts.	Independent measurement unit.
អចល័ត	ទ្រព្យសកម្មអចល័ត	ន.	149	approved	The definition identifies a long-term class of assets.	Reusable adjective in a transparent technical phrase.
អ៊ីដ្រូសែន	អ៊ីដ្រូសែនកម្ម	ន.	1567	approved	The definition explicitly describes adding hydrogen atoms; another RAC definition lists hydrogen as an element.	Independent scientific noun.
អេកូ	អេកូទេសចរណ៍	ន.	1481	rejected	The definition identifies ecotourism as a complete nature-based tourism form.	RAC does not define the borrowed eco prefix as an independent strict word.
អេក្វាទ័រ	ខ្សែអេក្វាទ័រ	ន.	208	approved	The definition identifies the imaginary circle equidistant from both poles that divides Earth in two.	Independent geographic noun in a transparent phrase.
អូតូ	អូតូក្លាវ	ន.	1020	rejected	The definition identifies autoclave as the complete medical sterilizing vessel.	Splitting the transliterated loanword would create a false standalone prefix.
