id	status	typed	correction	expectation	source_id	note
common-001	approved	សួរស្តី	សួស្ដី	exact	community-review	Reviewed common greeting typo
common-002	approved	ជម្រុញ	ជំរុញ	exact	community-review	Reviewed common spelling typo
common-003	approved	ប្រហេស	ប្រហែស	exact	community-review	Reviewed common spelling typo
common-004	approved	សសេរ	សរសេរ	exact	community-review	Reviewed omitted medial consonant
common-005	approved	រស់ជាតិ	រសជាតិ	exact	community-review	Reviewed extra sign
raca-001	approved	គម្រូ	គំរូ	top1	royal-army-2025-02-19	Candidate from reviewed real-world observation
raca-002	approved	ក៍	ក៏	top1	royal-army-2025-02-19	Candidate from reviewed real-world observation
raca-003	approved	ស្មើរ	ស្មើ	top_k	royal-army-2025-02-19	Candidate requires maintainer approval
raca-005	approved	ថវិការ	ថវិកា	top1	royal-army-2025-02-19	Candidate from reviewed real-world observation
raca-006	approved	បម្រើរការ	បម្រើការ	top1	royal-army-2025-02-19	Candidate from reviewed real-world observation
raca-007	approved	ការពា	ការពារ	top_k	royal-army-2025-02-19	Candidate requires maintainer approval
raca-009	approved	កាងារ	ការងារ	top1	royal-army-2025-04-02	Candidate from reviewed real-world observation
social-003	approved	ជិញ្ជក់	ជញ្ជក់	top1	sophai-comment-2025	Candidate from reviewed real-world observation
social-004	approved	សំរាប់	សម្រាប់	top1	sophai-comment-2025	Review whether legacy spelling should be accepted
social-006	approved	ជិវិត	ជីវិត	top1	sophai-comment-2025	Candidate from reviewed real-world observation
social-007	approved	ខែ្នរ	ខ្មែរ	top_k	sophai-comment-2025	Candidate requires maintainer approval
social-008	approved	កំរិត	កម្រិត	top1	sophai-comment-2025	Review whether legacy spelling should be accepted
exam-002	approved	ថ្នាល់	ថ្នាក់	top_k	exam-page-2025	Candidate requires maintainer approval
hf-003	approved	សុម	សូម	top1	pisethan-spelling	CC BY 4.0 source candidate
hf-004	approved	គ្រសួង	ក្រសួង	top1	pisethan-spelling	CC BY 4.0 source candidate
hf-005	approved	ផេនការ	ផែនការ	top1	pisethan-spelling	CC BY 4.0 source candidate
dataset-001	pending	អោយ	ឱ្យ	context_required	local-corpus-review	Common legacy form; 3210 occurrences after U+200B removal; decide whether to flag or accept
dataset-002	approved	កំពស់	កម្ពស់	top1	local-corpus-review	297 exact diagnostic spans after U+200B removal
